Cday,CT,bin,both_mid,both_midsep
2,17,8,0,0
2,17,9,0,0
2,17,10,0,0
2,18,1,0,0
2,18,2,0,0
2,18,3,2.000000000145519,1.0000000000582077
2,18,4,0,0
2,18,5,0,0
2,18,6,0,0
2,18,7,0,0
2,18,8,0,0
2,18,9,0,0
2,18,10,0,0
2,19,1,0,0
2,19,2,0,0
2,19,3,0,0
2,19,4,0,0
2,19,5,0,0
2,19,6,0,0
2,19,7,0,0
2,19,8,0,0
2,19,9,0,0
2,19,10,0,0
2,20,1,0,0
2,20,2,0,0
2,20,3,0,0
2,20,4,0,0
2,20,5,0,0
2,20,6,0,0
2,20,7,0,0
2,20,8,0,0
2,20,9,0,0
2,20,10,0,0
2,21,1,0,0
2,21,2,0,0
2,21,3,0,0
2,21,4,0,0
2,21,5,0,0
2,21,6,29.000000000058208,0
2,21,7,188.00000000001455,4
2,21,8,10.000000000058208,7.9999999999126885
2,21,9,0,0
2,21,10,0,0
2,22,1,0,0
2,22,2,0,0
2,22,3,0,0
2,22,4,0,0
2,22,5,0,0
2,22,6,0,0
2,22,7,0,0
2,22,8,0,0
2,22,9,0,0
2,22,10,58.00000000001455,0
2,23,1,120.00000000010186,1.9999999999272404
2,23,2,0,0
2,23,3,0,0
2,23,4,0,0
2,23,5,0,0
2,23,6,0,0
2,23,7,0,0
2,23,8,0,0
2,23,9,0,0
2,23,10,0,0
3,0,1,2.9999999999957936,0
3,0,2,0,0
3,0,3,0,0
3,0,4,0,0
3,0,5,0,0
3,0,6,0,0
3,0,7,45.00000000017235,65.99999999993179
3,0,8,0,0
3,0,9,0,0
3,0,10,0,0
3,1,1,0,0
3,1,2,0,0
3,1,3,0,0
3,1,4,0,0
3,1,5,0,0
3,1,6,0,0
3,1,7,0,0
3,1,8,0,0
3,1,9,0,0
3,1,10,0,0
3,2,1,0,0
3,2,2,0,0
3,2,3,1.0000000000691216,30.875000000029104
3,2,4,19.00000000005093,91.12499999979082
3,2,5,0,0
3,2,6,40.00000000023283,145.99999999980173
3,2,7,0,0
3,2,8,0,0
3,2,9,0,0
3,2,10,0,0
3,3,1,0,0
3,3,2,0,0
3,3,3,0,0
3,3,4,0,0
3,3,5,0,0
3,3,6,0,0
3,3,7,0,0
3,3,8,0,0
3,3,9,0,0
3,3,10,0,0
3,4,1,0,0
3,4,2,38.00000000031832,55
3,4,3,0,0
3,4,4,0,0
3,4,5,10.000000000063665,10.000000000061846
3,4,6,0,0
3,4,7,0,0
3,4,8,0,0
3,4,9,0,0
3,4,10,0,0
3,5,1,0,0
3,5,2,0,0
3,5,3,0,0
3,5,4,0,0
3,5,5,0,0
3,5,6,0,0
3,5,7,0,0
3,5,8,0,0
3,5,9,0,0
3,5,10,0,0
3,6,1,0,0
3,6,2,0,0
3,6,3,0,0
3,6,4,0,0
3,6,5,0,0
3,6,6,0,0
3,6,7,0,0
3,6,8,0,0
3,6,9,0,0
3,6,10,0,0
3,7,1,0,0
3,7,2,0,0
3,7,3,0,0
3,7,4,0,0
3,7,5,0,0
3,7,6,0,0
3,7,7,0,0
3,7,8,28.75000000009095,4.000000000058208
3,7,9,1.2499999998908606,0
3,7,10,0,0
3,8,1,0,0
3,8,2,0,0
3,8,3,0,0
3,8,4,0,0
3,8,5,0,0
3,8,6,0,0
3,8,7,0,0
3,8,8,0,0
3,8,9,0,0
3,8,10,0,0
3,9,1,0,0
3,9,2,0,0
3,9,3,0,0
3,9,4,0,0
3,9,5,0,0
3,9,6,0,0
3,9,7,0,0
3,9,8,0,0
3,9,9,3,10.999999999912689
3,9,10,0,0
3,10,1,0,0
3,10,2,0,0
3,10,3,7.999999999941792,1.0000000000654836
3,10,4,0,0
3,10,5,6.000000000007276,44.999999999956344
3,10,6,0,0
3,10,7,0,0
3,10,8,0,0
3,10,9,0,0
3,10,10,0,0
3,11,1,0,0
3,11,2,0,34.000000000043656
3,11,3,103.99999999983265,1.0000000000654836
3,11,4,0,0
3,11,5,0,0
3,11,6,51.00000000016007,8.999999999992724
3,11,7,328.6250000000946,0
3,11,8,47.375000000043656,0
3,11,9,0,0
3,11,10,0,0
3,12,1,0,0
3,12,2,0,0
3,12,3,0,0
3,12,4,0,0
3,12,5,0,0
3,12,6,0,0
3,12,7,0,0
3,12,8,58.000000000225555,24.99999999983993
3,12,9,270.12499999995634,0
3,12,10,36.87500000003638,0
3,13,1,0,0
3,13,2,0,0
3,13,3,0,0
3,13,4,0,0
3,13,5,0,0
3,13,6,0,0
3,13,7,0,0
3,13,8,0,0
3,13,9,0,0
3,13,10,0,0
3,14,1,0,0
3,14,2,0,0
3,14,3,0,0
3,14,4,0,0
