Cday,CT,bin,data
3,19,10,34.5606694560669
3,20,1,88.6192468619247
3,20,2,122.719665271967
3,20,3,123.050209205021
3,20,4,26.4644351464435
3,20,5,1.50627615062762
3,20,6,0
3,20,7,0
3,20,8,0
3,20,9,0
3,20,10,0
3,21,1,0
3,21,2,0
3,21,3,0
3,21,4,0
3,21,5,0
3,21,6,0
3,21,7,0
3,21,8,0
3,21,9,0
3,21,10,0
3,22,1,0
3,22,2,0
3,22,3,0
3,22,4,0
3,22,5,0
3,22,6,0
3,22,7,0
3,22,8,0
3,22,9,0
3,22,10,0
3,23,1,0
3,23,2,0
3,23,3,0
3,23,4,0
3,23,5,0
3,23,6,0
3,23,7,0
3,23,8,0
3,23,9,1.99163179916317
3,23,10,2.05857740585774
3,24,1,0
3,24,2,0
3,0,3,0
3,0,4,0
3,0,5,0
3,0,6,5.74058577405861
3,0,7,19.1673640167364
3,0,8,59.3347280334728
3,0,9,119.937238493724
3,0,10,86.4225941422592
3,1,1,0
3,1,2,0
3,1,3,0
3,1,4,0
3,1,5,0
3,1,6,0
3,1,7,0
3,1,8,0
3,1,9,0
3,1,10,0
3,2,1,0
3,2,2,1.04602510460251
3,2,3,4.01673640167368
3,2,4,10.4937238493723
3,2,5,64.7196652719667
3,2,6,89.4393305439326
3,2,7,28.5648535564854
3,2,8,52.8326359832641
3,2,9,0
3,2,10,0
3,3,1,0
3,3,2,0
3,3,3,0
3,3,4,0
3,3,5,0
3,3,6,0
3,3,7,0
3,3,8,0
3,3,9,0
3,3,10,0
3,4,1,0
3,4,2,0
3,4,3,0
3,4,4,0
3,4,5,0
3,4,6,0
3,4,7,0
3,4,8,0
3,4,9,0
3,4,10,0
3,5,1,0
3,5,2,0
3,5,3,0
3,5,4,0
3,5,5,0
3,5,6,0
3,5,7,0
3,5,8,0
3,5,9,0
3,5,10,0
3,6,1,0
3,6,2,0
3,6,3,0
3,6,4,0
3,6,5,0
3,6,6,0
3,6,7,0
3,6,8,0
3,6,9,0
3,6,10,0
3,7,1,0
3,7,2,0
3,7,3,0
3,7,4,0
3,7,5,0
3,7,6,0
3,7,7,0
3,7,8,0
3,7,9,0
3,7,10,0
3,8,1,0
3,8,2,0
3,8,3,0
3,8,4,0
3,8,5,0
3,8,6,0
3,8,7,0
3,8,8,0
3,8,9,0
3,8,10,0
3,9,1,0
3,9,2,0
3,9,3,0
3,9,4,0
3,9,5,0
3,9,6,0
3,9,7,0
3,9,8,0
3,9,9,0
3,9,10,0
3,10,1,0
3,10,2,0
3,10,3,0
3,10,4,0
3,10,5,0
3,10,6,0.464435146443492
3,10,7,5.56066945606667
3,10,8,18.276150627615
3,10,9,0
3,10,10,0
3,11,1,0
3,11,2,0
3,11,3,0
3,11,4,0
3,11,5,0.125523012552302
3,11,6,3.7029288702927
3,11,7,28.3891213389108
3,11,8,109.933054393305
3,11,9,94.1338912133892
3,11,10,140.016736401674
3,12,1,32.7489539748948
3,12,2,20.4142259414226
3,12,3,106.610878661089
3,12,4,83.2050209205026
3,12,5,68.1715481171548
3,12,6,149.242677824267
3,12,7,121.460251046026
3,12,8,159.175732217573
3,12,9,114.765690376569
3,12,10,74.5648535564849
3,13,1,122.824267782427
3,13,2,165.309623430962
3,13,3,95.3054393305425
3,13,4,15.3389121338923
3,13,5,0
3,13,6,81.7154811715472
3,13,7,116.485355648535
3,13,8,33.3891213389119
3,13,9,1.29707112970714
3,13,10,0
3,14,1,0
3,14,2,0
3,14,3,0
3,14,4,0
3,14,5,0
3,14,6,0
3,14,7,0
3,14,8,0
3,14,9,0.61506276150627
3,14,10,0.397489539748942
3,15,1,0
3,15,2,0
3,15,3,0
3,15,4,0
3,15,5,0
3,15,6,0
3,15,7,0
3,15,8,0
3,15,9,0
3,15,10,0
3,16,1,0
3,16,2,0
3,16,3,0
3,16,4,0
3,16,5,0
3,16,6,0
3,16,7,0
3,16,8,0
3,16,9,0
3,16,10,0
3,17,1,0
3,17,2,0
3,17,3,0
3,17,4,0
3,17,5,0
3,17,6,0
3,17,7,0
3,17,8,0
3,17,9,0
3,17,10,0
3,18,1,0
3,18,2,0
3,18,3,0
3,18,4,0
3,18,5,0
3,18,6,0
3,18,7,0
3,18,8,0
3,18,9,0
3,18,10,0
3,19,1,0
3,19,2,0
3,19,3,0
3,19,4,0
3,19,5,0
3,19,6,0.0251046025104498
3,19,7,1.02510460251048
3,19,8,3
4,19,9,0
4,19,10,0
4,20,1,0
4,20,2,0
4,20,3,0
4,20,4,0
4,20,5,0
4,20,6,0
4,20,7,0
4,20,8,0
4,20,9,0
4,20,10,0
4,21,1,0
4,21,2,0
4,21,3,0
4,21,4,0
4,21,5,0
4,21,6,0
4,21,7,0
4,21,8,0
4,21,9,0
4,21,10,4.94560669456066
4,22,1,1.10460251046025
4,22,2,0
4,22,3,0
4,22,4,0
4,22,5,0
4,22,6,0
4,22,7,0
4,22,8,0
4,22,9,0
4,22,10,0
4,23,1,0
4,23,2,0
4,23,3,0
4,23,4,0
4,23,5,0
4,23,6,0
4,23,7,0
4,23,8,0
4,23,9,0
4,23,10,0
4,24,1,0
4,24,2,0
4,0,3,0
4,0,4,0
4,0,5,0
4,0,6,1.21338912133892
4,0,7,22.9414225941423
4,0,8,71.2175732217574
4,0,9,78.1338912133892
4,0,10,28.1673640167365
4,1,1,0
4,1,2,0
4,1,3,0
4,1,4,0
4,1,5,0
4,1,6,0
4,1,7,0
4,1,8,0.506276150627614
4,1,9,19.92050209205
4,1,10,69.8410041841001
4,2,1,52.9205020920505
4,2,2,0
4,2,3,0
4,2,4,0
4,2,5,0
4,2,6,0
4,2,7,0
4,2,8,0
4,2,9,0
4,2,10,0
4,3,1,0
4,3,2,0
4,3,3,30.8410041840997
4,3,4,64.2426778242681
4,3,5,22.89539748954
4,3,6,0
4,3,7,0
4,3,8,0
4,3,9,0
4,3,10,0
4,4,1,0
4,4,2,0
4,4,3,0
4,4,4,0
4,4,5,0
4,4,6,0
4,4,7,0
4,4,8,0
4,4,9,0
4,4,10,0
4,5,1,0
4,5,2,0.443514644351482
4,5,3,4.56066945606707
4,5,4,17.2803347280335
4,5,5,24.1004184100418
4,5,6,0
4,5,7,0
4,5,8,0
4,5,9,0
4,5,10,0
4,6,1,0
4,6,2,0
4,6,3,0
