,Cday,CT,bin_ct,data_ct,both_mid_ct,both_midsep_ct
262,2,2,3,,,
263,2,2,4,,,
264,2,2,5,,,
265,2,2,6,,,
266,2,2,7,,,
267,2,2,8,,,
268,2,2,9,0.0,0.0,0.0
269,2,2,10,0.0,0.0,0.0
270,2,3,1,0.0,0.0,0.0
271,2,3,2,0.0,0.0,0.0
272,2,3,3,0.0,0.0,0.0
273,2,3,4,0.0,0.0,0.0
274,2,3,5,0.0,0.0,0.0
275,2,3,6,0.0,0.0,0.0
276,2,3,7,,,
277,2,3,8,,,
278,2,3,9,,,
279,2,3,10,,,
280,2,4,1,,,
281,2,4,2,,,
282,2,4,3,,,
283,2,4,4,,,
284,2,4,5,,,
285,2,4,6,,,
286,2,4,7,,,
287,2,4,8,,,
288,2,4,9,,,
289,2,4,10,,,
290,2,5,1,,,
291,2,5,2,,,
292,2,5,3,,,
293,2,5,4,,,
294,2,5,5,,,
295,2,5,6,,,
296,2,5,7,,,
297,2,5,8,,,
298,2,5,9,,,
299,2,5,10,,,
300,2,6,1,,,
301,2,6,2,,,
302,2,6,3,,,
303,2,6,4,,,
304,2,6,5,,,
305,2,6,6,,,
306,2,6,7,,,
307,2,6,8,,,
308,2,6,9,,,
309,2,6,10,,,
310,2,7,1,,,
311,2,7,2,,,
312,2,7,3,,,
313,2,7,4,,,
314,2,7,5,,,
315,2,7,6,,,
316,2,7,7,,,
317,2,7,8,,,
318,2,7,9,,,
319,2,7,10,,,
320,2,8,1,,,
321,2,8,2,,,
322,2,8,3,,,
323,2,8,4,,,
324,2,8,5,,,
325,2,8,6,,,
326,2,8,7,,,
327,2,8,8,,,
328,2,8,9,,,
329,2,8,10,,,
330,2,9,1,,,
331,2,9,2,,,
332,2,9,3,,,
333,2,9,4,,,
334,2,9,5,,,
335,2,9,6,,,
336,2,9,7,,,
337,2,9,8,,,
338,2,9,9,,,
339,2,9,10,,,
340,2,10,1,,,
341,2,10,2,,,
342,2,10,3,,,
343,2,10,4,,,
344,2,10,5,,,
345,2,10,6,,,
346,2,10,7,,,
347,2,10,8,,,
348,2,10,9,,,
349,2,10,10,,,
350,2,11,1,,,
351,2,11,2,,,
352,2,11,3,,,
353,2,11,4,,,
354,2,11,5,,,
355,2,11,6,,,
356,2,11,7,,,
357,2,11,8,,,
358,2,11,9,,,
