,Cday,CT,bin,data
952,4,23,3,55.0
953,4,23,4,36.0
954,4,23,5,0.0
955,4,23,6,0.0
956,4,23,7,0.0
957,4,23,8,0.0
958,4,23,9,0.0
959,4,23,10,0.0
960,5,0,1,0.0
961,5,0,2,0.0
962,5,0,3,0.0
963,5,0,4,0.0
964,5,0,5,0.0
965,5,0,6,0.0
966,5,0,7,0.0
967,5,0,8,0.0
968,5,0,9,0.0
969,5,0,10,0.0
970,5,1,1,0.0
971,5,1,2,0.0
972,5,1,3,0.0
973,5,1,4,0.0
974,5,1,5,0.0
975,5,1,6,0.0
976,5,1,7,0.0
977,5,1,8,0.0
978,5,1,9,0.0
979,5,1,10,0.0
980,5,2,1,0.0
981,5,2,2,0.0
982,5,2,3,0.0
983,5,2,4,2.0
984,5,2,5,1.0
985,5,2,6,0.0
986,5,2,7,0.0
987,5,2,8,0.0
988,5,2,9,0.0
989,5,2,10,0.0
990,5,3,1,0.0
991,5,3,2,0.0
992,5,3,3,0.0
993,5,3,4,0.0
994,5,3,5,0.0
995,5,3,6,0.0
996,5,3,7,0.0
997,5,3,8,0.0
998,5,3,9,0.0
999,5,3,10,0.0
1000,5,4,1,0.0
1001,5,4,2,0.0
1002,5,4,3,0.0
1003,5,4,4,0.0
1004,5,4,5,0.0
1005,5,4,6,0.0
1006,5,4,7,0.0
1007,5,4,8,0.0
1008,5,4,9,0.0
1009,5,4,10,0.0
1010,5,5,1,0.0
1011,5,5,2,0.0
1012,5,5,3,0.0
1013,5,5,4,0.0
1014,5,5,5,0.0
1015,5,5,6,0.0
1016,5,5,7,0.0
1017,5,5,8,0.0
1018,5,5,9,0.0
1019,5,5,10,0.0
1020,5,6,1,0.0
1021,5,6,2,0.0
1022,5,6,3,0.0
1023,5,6,4,0.0
1024,5,6,5,0.0
1025,5,6,6,0.0
1026,5,6,7,0.0
1027,5,6,8,0.0
1028,5,6,9,0.0
1029,5,6,10,0.0
1030,5,7,1,0.0
1031,5,7,2,0.0
1032,5,7,3,0.0
1033,5,7,4,0.0
1034,5,7,5,0.0
1035,5,7,6,0.0
1036,5,7,7,0.0
1037,5,7,8,0.0
1038,5,7,9,0.0
1039,5,7,10,0.0
1040,5,8,1,0.0
1041,5,8,2,0.0
1042,5,8,3,0.0
1043,5,8,4,0.0
1044,5,8,5,0.0
1045,5,8,6,0.0
1046,5,8,7,0.0
1047,5,8,8,0.0
1048,5,8,9,0.0
1049,5,8,10,0.0
1050,5,9,1,0.0
1051,5,9,2,0.0
1052,5,9,3,1.0
1053,5,9,4,0.0
1054,5,9,5,0.0
1055,5,9,6,0.0
1056,5,9,7,0.0
1057,5,9,8,0.0
1058,5,9,9,0.0
1059,5,9,10,0.0
1060,5,10,1,0.0
1061,5,10,2,0.0
1062,5,10,3,0.0
1063,5,10,4,0.0
1064,5,10,5,2.0
1065,5,10,6,0.0
1066,5,10,7,0.0
1067,5,10,8,0.0
1068,5,10,9,0.0
1069,5,10,10,0.0
1070,5,11,1,0.0
1071,5,11,2,0.0
1072,5,11,3,0.0
1073,5,11,4,0.0
1074,5,11,5,0.0
1075,5,11,6,0.0
1076,5,11,7,0.0
1077,5,11,8,0.0
1078,5,11,9,0.0
1079,5,11,10,19.0
1080,5,12,1,90.0
1081,5,12,2,97.0
1082,5,12,3,99.0
1083,5,12,4,35.0
1084,5,12,5,22.0
1085,5,12,6,108.0
1086,5,12,7,0.0
1087,5,12,8,46.0
1088,5,12,9,28.0
1089,5,12,10,0.0
1090,5,13,1,0.0
1091,5,13,2,34.0
1092,5,13,3,0.0
1093,5,13,4,0.0
1094,5,13,5,0.0
1095,5,13,6,0.0
1096,5,13,7,0.0
1097,5,13,8,0.0
1098,5,13,9,0.0
1099,5,13,10,0.0
1100,5,14,1,0.0
1101,5,14,2,35.0
1102,5,14,3,10.0
1103,5,14,4,0.0
1104,5,14,5,0.0
1105,5,14,6,0.0
1106,5,14,7,0.0
1107,5,14,8,0.0
