,Cday,CT,bin,data,both_mid,both_midsep
230,7,1,4,99.0,156.0,21.0
231,7,1,5,35.5,35.0,18.0
232,7,3,9,26.5,39.0,7.0
233,7,5,8,23.0,32.0,7.0
234,7,8,3,20.0,10.0,15.0
235,7,10,2,40.0,0.0,40.0
236,7,10,3,50.0,66.0,17.0
237,7,12,4,8.5,9.0,4.0
238,7,12,5,9.0,2.0,8.0
239,7,12,7,7.5,13.0,1.0
240,7,13,2,23.5,23.0,12.0
241,7,13,9,13.0,4.0,11.0
242,7,15,3,16.0,32.0,0.0
243,7,15,4,15.5,29.0,1.0
244,7,15,9,67.0,134.0,0.0
245,7,16,1,25.5,31.0,10.0
246,7,18,4,12.0,2.0,11.0
247,7,18,8,26.0,34.0,9.0
248,7,18,9,84.0,168.0,0.0
249,7,20,8,130.5,253.0,4.0
250,7,20,9,49.5,83.0,8.0
251,7,23,3,60.0,120.0,0.0
252,7,23,4,151.0,212.0,45.0
253,7,23,6,36.0,72.0,0.0
254,7,23,7,111.5,187.0,18.0
255,7,23,8,75.0,114.0,18.0
