Cday,CT,bin,middle,mid_sep,others
2,11,4,0,0,360
2,11,5,0,0,360
2,11,6,0,0,360
2,11,7,0,0,360
2,11,8,0,0,360
2,11,9,10,7,343
2,11,10,2,0,358
2,12,1,0,0,360
2,12,2,0,1,359
2,12,3,11,63,286
2,12,4,105,181,74
2,12,5,3,0,357
2,12,6,4,1,355
2,12,7,78,33,249
2,12,8,62,134,164
2,12,9,26,0,334
2,12,10,0,0,360
2,13,1,3,2,355
2,13,2,16,24,320
2,13,3,6,53,301
2,13,4,6,14,340
2,13,5,0,0,360
2,13,6,24,85,251
2,13,7,36,203,121
2,13,8,0,0,360
2,13,9,67,155,138
2,13,10,1,46,313
2,14,1,0,0,360
2,14,2,0,0,360
2,14,3,0,0,360
2,14,4,21,21,318
2,14,5,0,0,360
2,14,6,37,57,266
2,14,7,114,86,160
2,14,8,0,0,360
2,14,9,0,0,360
2,14,10,0,0,360
2,15,1,0,0,360
2,15,2,0,0,360
2,15,3,0,0,360
2,15,4,0,0,360
2,15,5,0,0,360
2,15,6,0,0,360
2,15,7,0,0,360
2,15,8,0,0,360
2,15,9,0,0,360
2,15,10,0,0,360
2,16,1,0,0,360
2,16,2,12,12,336
2,16,3,0,0,360
2,16,4,0,0,360
2,16,5,0,0,360
2,16,6,5,5,350
2,16,7,13,20,327
2,16,8,6,0,354
2,16,9,12,9,339
2,16,10,0,0,360
2,17,1,73,45,242
2,17,2,0,0,360
2,17,3,0,0,360
2,17,4,0,0,360
2,17,5,0,0,360
2,17,6,0,0,360
2,17,7,15,1,344
2,17,8,0,0,360
2,17,9,0,0,360
2,17,10,0,0,360
2,18,1,25,3,332
2,18,2,0,0,360
2,18,3,32,5,323
2,18,4,5,0,355
2,18,5,0,0,360
2,18,6,0,0,360
2,18,7,0,0,360
2,18,8,0,0,360
2,18,9,0,0,360
2,18,10,0,0,360
2,19,1,0,0,360
2,19,2,0,0,360
2,19,3,0,0,360
2,19,4,13,2,345
2,19,5,0,0,360
2,19,6,0,0,360
2,19,7,10,2,348
2,19,8,0,0,360
2,19,9,61,62,237
2,19,10,0,0,360
2,20,1,0,0,360
2,20,2,0,0,360
2,20,3,0,0,360
2,20,4,0,0,360
2,20,5,0,0,360
2,20,6,0,0,360
2,20,7,0,0,360
2,20,8,0,0,360
2,20,9,0,0,360
2,20,10,0,0,360
2,21,1,0,0,360
2,21,2,0,0,360
2,21,3,6,1,353
2,21,4,0,0,360
2,21,5,4,5,351
2,21,6,2,2,356
2,21,7,0,0,360
2,21,8,0,0,360
2,21,9,28,66,266
2,21,10,0,0,360
2,22,1,0,0,360
2,22,2,0,0,360
2,22,3,0,0,360
2,22,4,0,0,360
2,22,5,0,0,360
2,22,6,0,0,360
2,22,7,0,0,360
2,22,8,0,0,360
2,22,9,0,0,360
2,22,10,41,6,313
2,23,1,0,0,360
2,23,2,81,64,215
2,23,3,16,0,344
2,23,4,74,15,271
2,23,5,0,0,360
2,23,6,0,0,360
2,23,7,0,0,360
2,23,8,0,0,360
2,23,9,0,0,360
2,23,10,0,0,360
3,0,1,0,0,360
3,0,2,0,0,360
3,0,3,0,0,360
3,0,4,0,0,360
3,0,5,0,0,360
3,0,6,0,0,360
3,0,7,0,0,360
3,0,8,0,0,360
3,0,9,0,0,360
3,0,10,0,0,360
3,1,1,0,0,360
3,1,2,0,0,360
3,1,3,0,0,360
3,1,4,21,15,324
3,1,5,0,0,360
3,1,6,0,0,360
3,1,7,0,0,360
3,1,8,0,0,360
3,1,9,0,0,360
3,1,10,0,0,360
3,2,1,0,0,360
3,2,2,0,0,360
3,2,3,0,0,360
3,2,4,0,0,360
3,2,5,0,0,360
3,2,6,0,0,360
3,2,7,0,0,360
3,2,8,0,0,360
3,2,9,0,0,360
3,2,10,0,0,360
3,3,1,0,0,360
3,3,2,0,0,360
3,3,3,0,0,360
3,3,4,0,0,360
3,3,5,0,0,279
3,3,6,,,
3,3,7,,,
3,3,8,135,18,180
3,3,9,0,0,360
3,3,10,1,0,359
3,4,1,0,0,360
3,4,2,0,0,360
3,4,3,0,0,360
3,4,4,0,0,360
3,4,5,0,0,360
3,4,6,0,0,360
3,4,7,0,0,360
3,4,8,0,0,360
3,4,9,0,0,360
3,4,10,0,0,360
3,5,1,0,0,360
3,5,2,12,104,244
3,5,3,23,26,311
3,5,4,0,0,360
3,5,5,0,0,360
3,5,6,0,0,360
3,5,7,0,0,360
3,5,8,0,0,360
3,5,9,0,0,360
3,5,10,0,0,360
3,6,1,0,0,360
3,6,2,0,0,360
3,6,3,0,0,360
3,6,4,0,0,360
3,6,5,0,0,360
3,6,6,0,0,360
3,6,7,0,0,360
3,6,8,0,0,360
3,6,9,19,5,369
3,6,10,0,0,720
3,7,1,0,0,720
3,7,2,0,0,720
3,7,3,0,0,720
3,7,4,0,0,720
3,7,5,0,0,720
3,7,6,0,0,720
3,7,7,0,0,720
3,7,8,0,0,720
3,7,9,0,0,720
3,7,10,0,0,720
3,8,1,0,0,720
3,8,2,0,0,720
3,8,3,0,0,720
3,8,4,0,0,720
3,8,5,0,0,692
3,8,6,0,0,360
3,8,7,0,0,360
3,8,8,0,0,360
3,8,9,0,0,360
3,8,10,0,0,360
3,9,1,0,0,360
3,9,2,0,0,360
3,9,3,0,0,360
3,9,4,0,0,360
3,9,5,0,0,360
3,9,6,0,0,360
3,9,7,0,0,360
3,9,8,0,0,360
3,9,9,0,0,360
3,9,10,0,0,360
3,10,1,0,0,360
3,10,2,11,11,338
3,10,3,0,0,360
3,10,4,0,0,360
3,10,5,0,0,360
3,10,6,0,0,360
3,10,7,0,0,360
3,10,8,0,0,360
3,10,9,0,0,360
3,10,10,0,0,360
3,11,1,4,12,344
3,11,2,0,0,360
3,11,3,0,0,360
3,11,4,0,0,360
3,11,5,0,0,360
3,11,6,2,7,351
3,11,7,0,0,360
3,11,8,0,0,360
3,11,9,0,0,360
3,11,10,0,0,360
3,12,1,0,0,360
3,12,2,3,8,349
3,12,3,103,14,243
3,12,4,31,11,318
3,12,5,0,0,360
3,12,6,9,0,351
3,12,7,0,0,360
3,12,8,71,106,183
3,12,9,5,0,355
3,12,10,0,0,360
3,13,1,0,0,360
3,13,2,0,0,360
3,13,3,0,0,360
3,13,4,0,0,360
3,13,5,0,0,360
3,13,6,34,93,233
3,13,7,48,77,235
3,13,8,144,23,193
3,13,9,1,0,359
3,13,10,0,0,360
3,14,1,38,40,282
3,14,2,0,0,360
3,14,3,0,0,360
3,14,4,0,0,360
3,14,5,0,0,360
3,14,6,0,0,360
3,14,7,0,0,360
3,14,8,0,0,360
3,14,9,0,0,360
3,14,10,0,0,360
3,15,1,0,0,360
3,15,2,0,0,360
3,15,3,0,0,360
3,15,4,0,0,360
3,15,5,0,0,360
3,15,6,0,0,360
3,15,7,0,0,360
3,15,8,0,0,360
3,15,9,0,0,360
3,15,10,0,0,360
3,16,1,10,2,348
3,16,2,5,1,354
3,16,3,17,8,335
3,16,4,32,103,225
3,16,5,0,0,360
3,16,6,0,0,360
3,16,7,0,0,360
3,16,8,0,0,360
3,16,9,0,0,360
3,16,10,0,0,360
3,17,1,0,0,360
3,17,2,0,0,360
3,17,3,0,0,360
3,17,4,0,0,360
3,17,5,0,0,360
3,17,6,0,0,360
3,17,7,0,0,360
3,17,8,6,2,352
3,17,9,0,0,360
3,17,10,0,5,355
3,18,1,0,0,360
3,18,2,53,66,241
3,18,3,0,0,360
3,18,4,0,0,360
3,18,5,0,0,360
3,18,6,1,0,359
3,18,7,0,0,360
3,18,8,71,92,197
3,18,9,1,0,359
3,18,10,2,0,358
3,19,1,0,0,360
3,19,2,0,0,360
3,19,3,0,0,360
3,19,4,0,0,360
3,19,5,0,0,360
3,19,6,0,0,360
3,19,7,0,0,360
3,19,8,0,0,360
3,19,9,0,0,360
3,19,10,0,0,360
3,20,1,0,0,360
3,20,2,0,0,360
3,20,3,0,0,360
3,20,4,67,32,261
3,20,5,38,57,265
3,20,6,39,44,277
3,20,7,0,0,360
3,20,8,0,0,360
3,20,9,6,12,342
3,20,10,0,0,360
3,21,1,0,0,360
3,21,2,0,0,360
3,21,3,0,0,360
3,21,4,0,0,360
3,21,5,0,0,360
3,21,6,0,0,360
3,21,7,0,0,360
3,21,8,0,0,360
3,21,9,0,0,360
3,21,10,0,0,360
3,22,1,0,0,360
3,22,2,0,0,360
3,22,3,6,0,354
3,22,4,0,0,360
3,22,5,0,0,360
3,22,6,0,0,360
3,22,7,64,6,290
3,22,8,67,16,277
3,22,9,0,0,360
3,22,10,0,0,360
3,23,1,0,0,360
3,23,2,0,0,360
3,23,3,0,0,360
3,23,4,0,0,360
3,23,5,0,0,360
3,23,6,0,0,360
3,23,7,0,0,360
3,23,8,0,0,360
3,23,9,0,0,360
3,23,10,0,0,360
4,0,1,0,0,360
4,0,2,0,0,360
4,0,3,0,0,360
4,0,4,0,0,360
4,0,5,0,0,360
4,0,6,0,0,360
4,0,7,0,0,360
4,0,8,0,0,360
4,0,9,0,0,360
4,0,10,0,0,360
4,1,1,0,0,360
4,1,2,0,0,360
4,1,3,0,0,360
4,1,4,0,0,360
4,1,5,0,0,360
4,1,6,0,0,360
4,1,7,0,0,360
4,1,8,0,0,360
4,1,9,0,0,360
4,1,10,0,0,360
4,2,1,0,0,360
4,2,2,0,0,360
4,2,3,0,0,360
4,2,4,0,0,360
4,2,5,0,0,360
4,2,6,0,0,360
4,2,7,17,0,343
4,2,8,0,0,360
4,2,9,0,0,360
4,2,10,0,0,360
4,3,1,0,0,360
4,3,2,0,0,360
4,3,3,0,0,360
4,3,4,0,0,360
4,3,5,0,0,360
4,3,6,0,0,360
4,3,7,0,0,360
4,3,8,0,0,360
4,3,9,0,0,360
4,3,10,0,0,360
4,4,1,0,0,360
4,4,2,0,0,360
4,4,3,0,0,360
4,4,4,0,0,360
4,4,5,0,0,360
4,4,6,0,0,360
4,4,7,8,0,352
4,4,8,0,0,360
4,4,9,0,0,360
4,4,10,0,0,360
4,5,1,0,0,360
4,5,2,0,0,360
4,5,3,0,0,360
4,5,4,0,0,360
4,5,5,0,0,360
4,5,6,0,0,360
4,5,7,0,0,360
4,5,8,0,0,360
4,5,9,0,0,360
4,5,10,0,0,360
4,6,1,0,0,360
4,6,2,0,0,360
4,6,3,0,0,360
4,6,4,0,0,360
4,6,5,0,0,360
4,6,6,0,0,360
4,6,7,0,0,20
4,8,5,1,8,19
4,8,6,0,0,360
4,8,7,0,0,360
4,8,8,0,0,360
4,8,9,0,0,360
4,8,10,0,0,360
4,9,1,0,0,360
4,9,2,0,0,360
4,9,3,0,0,360
4,9,4,0,0,360
4,9,5,0,0,360
4,9,6,0,0,360
4,9,7,0,0,360
4,9,8,0,0,360
4,9,9,0,0,360
4,9,10,0,0,360
4,10,1,17,22,321
4,10,2,20,8,332
4,10,3,2,4,354
4,10,4,29,7,324
4,10,5,0,0,360
4,10,6,0,0,360
4,10,7,0,0,360
4,10,8,0,0,360
4,10,9,0,0,360
4,10,10,0,0,360
4,11,1,0,0,360
4,11,2,0,0,360
4,11,3,0,0,360
4,11,4,0,0,360
4,11,5,1,9,350
4,11,6,0,0,360
4,11,7,0,0,360
4,11,8,0,0,360
4,11,9,0,0,360
4,11,10,0,0,360
4,12,1,3,0,357
4,12,2,7,7,346
4,12,3,17,19,324
4,12,4,1,0,359
4,12,5,4,14,342
4,12,6,0,0,360
4,12,7,10,50,300
4,12,8,105,94,161
4,12,9,0,0,360
4,12,10,0,0,360
4,13,1,0,0,360
4,13,2,18,8,334
4,13,3,9,2,349
4,13,4,53,39,268
4,13,5,85,33,242
4,13,6,0,0,360
4,13,7,0,0,360
4,13,8,0,0,360
4,13,9,0,0,360
4,13,10,0,0,360
4,14,1,0,0,360
4,14,2,0,0,360
4,14,3,0,0,360
4,14,4,106,162,92
4,14,5,54,269,37
4,14,6,0,0,360
4,14,7,0,0,360
4,14,8,16,31,313
4,14,9,0,0,360
4,14,10,12,5,343
4,15,1,0,0,360
4,15,2,0,0,360
4,15,3,126,138,96
4,15,4,2,8,350
4,15,5,0,0,360
4,15,6,0,0,360
4,15,7,0,0,360
4,15,8,0,0,360
4,15,9,0,0,360
4,15,10,0,0,360
4,16,1,0,0,360
4,16,2,0,0,360
4,16,3,0,0,360
4,16,4,15,0,345
4,16,5,0,0,360
4,16,6,0,0,360
4,16,7,8,16,336
4,16,8,0,0,360
4,16,9,0,0,360
4,16,10,1,15,344
4,17,1,4,2,354
4,17,2,3,0,357
4,17,3,0,0,360
4,17,4,0,0,360
4,17,5,0,0,360
4,17,6,0,0,360
4,17,7,0,0,360
4,17,8,0,0,360
4,17,9,0,0,360
4,17,10,0,0,360
4,18,1,0,0,360
4,18,2,0,0,360
4,18,3,0,0,360
4,18,4,0,0,360
4,18,5,0,0,360
4,18,6,9,7,344
4,18,7,6,0,354
4,18,8,0,0,360
4,18,9,0,0,360
4,18,10,0,0,360
4,19,1,0,0,360
4,19,2,0,0,360
4,19,3,0,0,360
4,19,4,1,0,359
4,19,5,7,9,344
4,19,6,8,8,344
4,19,7,48,17,295
4,19,8,0,0,360
4,19,9,0,0,360
4,19,10,34,7,319
4,20,1,0,0,360
4,20,2,0,0,360
4,20,3,0,0,360
4,20,4,0,0,360
4,20,5,0,0,360
4,20,6,0,0,360
4,20,7,0,0,360
4,20,8,0,0,360
4,20,9,0,0,360
4,20,10,0,0,360
4,21,1,0,0,360
4,21,2,0,0,360
4,21,3,0,0,360
4,21,4,4,28,328
4,21,5,58,32,270
4,21,6,44,48,268
4,21,7,0,0,360
4,21,8,12,60,288
4,21,9,3,23,334
4,21,10,0,0,360
4,22,1,0,0,360
4,22,2,0,0,360
4,22,3,0,0,360
4,22,4,0,0,360
4,22,5,0,0,360
4,22,6,0,0,360
4,22,7,0,0,360
4,22,8,0,0,360
4,22,9,0,0,360
