,Cday,CT,bin,data,middle,mid_sep,others
218,1,21,7,0.0,0,0,360
219,1,21,8,0.0,0,0,360
220,1,21,9,0.0,0,0,360
221,1,21,10,0.0,0,0,360
222,1,22,1,0.0,0,0,360
223,1,22,2,0.0,0,0,360
224,1,22,3,0.0,0,0,360
225,1,22,4,0.0,0,0,360
226,1,22,5,0.0,0,0,360
227,1,22,6,0.0,0,0,360
228,1,22,7,35.0,10,30,320
229,1,22,8,5.0,2,4,354
230,1,22,9,136.5,19,127,214
231,1,22,10,121.5,51,96,213
232,1,23,1,67.0,68,33,259
233,1,23,2,191.5,85,149,126
234,1,23,3,122.5,153,46,161
235,1,23,4,166.0,48,142,170
236,1,23,5,134.5,15,127,218
237,1,23,6,37.5,43,16,301
238,1,23,7,30.5,5,28,327
239,1,23,8,150.0,162,69,129
240,1,23,9,0.0,0,0,360
241,1,23,10,0.0,0,0,360
242,2,0,1,0.0,0,0,360
243,2,0,2,50.0,10,45,305
244,2,0,3,80.5,139,11,210
245,2,0,4,0.0,0,0,360
246,2,0,5,0.0,0,0,360
247,2,0,6,0.0,0,0,360
248,2,0,7,0.0,0,0,360
249,2,0,8,0.0,0,0,360
250,2,0,9,0.0,0,0,360
251,2,0,10,0.0,0,0,360
252,2,1,1,105.0,92,59,209
253,2,1,2,189.0,140,119,101
254,2,1,3,79.0,72,43,245
255,2,1,4,94.5,49,70,241
256,2,1,5,27.0,4,25,331
257,2,1,6,14.0,8,10,342
258,2,1,7,0.0,0,0,360
259,2,1,8,0.0,0,0,360
260,2,1,9,116.5,131,51,178
261,2,1,10,130.5,7,127,226
262,2,2,1,56.5,9,52,299
263,2,2,2,0.0,0,0,360
264,2,2,3,0.0,0,0,360
265,2,2,4,0.0,0,0,360
266,2,2,5,0.0,0,0,360
267,2,2,6,0.0,0,0,360
268,2,2,7,0.0,0,0,360
269,2,2,8,0.0,0,0,360
270,2,2,9,0.0,0,0,360
271,2,2,10,0.0,0,0,360
272,2,3,1,0.0,0,0,360
273,2,3,2,0.0,0,0,360
274,2,3,3,99.5,81,59,220
275,2,3,4,193.5,9,189,162
276,2,3,5,89.0,6,86,268
277,2,3,6,159.0,40,139,181
278,2,3,7,78.5,33,62,265
279,2,3,8,52.5,13,46,301
280,2,3,9,0.0,0,0,360
281,2,3,10,0.0,0,0,360
282,2,4,1,0.0,0,0,360
283,2,4,2,0.0,0,0,360
284,2,4,3,0.0,0,0,360
285,2,4,4,0.0,0,0,360
286,2,4,5,0.0,0,0,360
287,2,4,6,0.0,0,0,360
288,2,4,7,0.0,0,0,360
289,2,4,8,0.0,0,0,360
290,2,4,9,0.0,0,0,360
291,2,4,10,0.0,0,0,360
292,2,5,1,0.0,0,0,360
293,2,5,2,0.0,0,0,360
294,2,5,3,0.0,0,0,360
295,2,5,4,0.0,0,0,360
296,2,5,5,0.0,0,0,360
297,2,5,6,0.0,0,0,360
298,2,5,7,0.0,0,0,360
299,2,5,8,0.0,0,0,360
300,2,5,9,0.0,0,0,360
301,2,5,10,0.0,0,0,360
302,2,6,1,0.0,0,0,360
303,2,6,2,0.0,0,0,360
304,2,6,3,0.0,0,0,360
305,2,6,4,46.0,12,40,308
306,2,6,5,0.0,0,0,360
307,2,6,6,0.0,0,0,360
308,2,6,7,0.0,0,0,360
309,2,6,8,0.0,0,0,360
310,2,6,9,0.0,0,0,360
311,2,6,10,0.0,0,0,360
312,2,7,1,0.0,0,0,360
313,2,7,2,0.0,0,0,360
314,2,7,3,0.0,0,0,360
315,2,7,4,0.0,0,0,360
316,2,7,5,0.0,0,0,360
317,2,7,6,0.0,0,0,360
318,2,7,7,0.0,0,0,360
319,2,7,8,0.0,0,0,360
320,2,7,9,0.0,0,0,360
321,2,7,10,0.0,0,0,360
322,2,8,1,0.0,0,0,360
323,2,8,2,0.0,0,0,360
324,2,8,3,0.0,0,0,360
325,2,8,4,0.0,0,0,360
326,2,8,5,0.0,0,0,360
327,2,8,6,30.0,24,18,318
328,2,8,7,117.5,47,94,219
329,2,8,8,13.5,7,10,343
330,2,8,9,48.5,37,30,293
331,2,8,10,0.0,0,0,360
332,2,9,1,0.0,0,0,360
333,2,9,2,0.0,0,0,360
334,2,9,3,0.0,0,0,360
335,2,9,4,0.0,0,0,360
336,2,9,5,0.0,0,0,360
337,2,9,6,0.0,0,0,360
338,2,9,7,67.5,33,51,276
339,2,9,8,19.0,10,14,336
340,2,9,9,8.0,2,7,351
341,2,9,10,0.0,0,0,360
342,2,10,1,0.0,0,0,360
343,2,10,2,0.0,0,0,360
344,2,10,3,0.0,0,0,285
345,2,10,4,35.5,15,28,215
346,2,10,5,0.0,0,0,360
347,2,10,6,0.0,0,0,360
348,2,10,7,40.0,22,29,309
349,2,10,8,0.0,0,0,360
350,2,10,9,0.0,0,0,360
351,2,10,10,0.0,0,0,360
352,2,11,1,118.5,35,101,224
353,2,11,2,47.0,0,47,313
354,2,11,3,137.5,63,106,191
355,2,11,4,34.5,11,29,320
356,2,11,5,0.0,0,0,360
357,2,11,6,0.0,0,0,360
358,2,11,7,0.0,0,0,360
359,2,11,8,102.0,54,75,231
360,2,11,9,28.5,9,24,327
361,2,11,10,8.0,14,1,345
362,2,12,1,3.0,2,2,356
363,2,12,2,21.5,3,20,337
364,2,12,3,8.5,5,6,349
365,2,12,4,24.5,1,24,335
366,2,12,5,36.0,6,33,321
367,2,12,6,48.5,7,45,308
368,2,12,7,0.0,0,0,360
369,2,12,8,26.5,7,23,330
370,2,12,9,76.0,6,73,281
371,2,12,10,0.0,0,0,360
372,2,13,1,5.5,3,4,353
373,2,13,2,0.0,0,0,360
374,2,13,3,5.5,3,4,353
375,2,13,4,93.5,21,83,256
376,2,13,5,59.5,19,50,291
377,2,13,6,79.0,32,63,265
378,2,13,7,117.0,54,90,216
379,2,13,8,26.0,12,20,328
380,2,13,9,189.0,342,18,0
381,2,13,10,81.5,65,49,246
382,2,14,1,0.0,0,0,360
383,2,14,2,0.0,0,0,360
384,2,14,3,127.0,96,79,185
385,2,14,4,72.0,14,65,281
386,2,14,5,37.5,11,32,317
387,2,14,6,29.5,9,25,326
388,2,14,7,35.5,21,25,314
389,2,14,8,63.5,29,49,282
390,2,14,9,93.5,61,63,236
391,2,14,10,164.5,85,122,153
392,2,15,1,28.0,40,8,312
393,2,15,2,52.0,24,40,296
394,2,15,3,23.5,21,13,326
395,2,15,4,0.0,0,0,360
396,2,15,5,0.0,0,0,360
397,2,15,6,47.0,60,17,283
398,2,15,7,28.0,16,20,324
399,2,15,8,0.0,0,0,360
400,2,15,9,8.5,17,0,343
401,2,15,10,176.5,153,100,107
402,2,16,1,25.0,12,19,329
403,2,16,2,10.5,7,7,346
404,2,16,3,0.0,0,0,360
405,2,16,4,0.0,0,0,360
406,2,16,5,103.5,47,80,233
407,2,16,6,128.0,94,81,185
408,2,16,7,74.5,15,67,278
409,2,16,8,111.0,38,92,230
410,2,16,9,24.0,6,21,333
411,2,16,10,43.5,1,43,316
412,2,17,1,94.0,52,68,240
413,2,17,2,16.0,12,10,338
414,2,17,3,21.0,2,20,338
415,2,17,4,19.0,8,15,337
416,2,17,5,0.0,0,0,360
417,2,17,6,0.0,0,0,360
418,2,17,7,0.0,0,0,360
419,2,17,8,0.0,0,0,360
420,2,17,9,0.0,0,0,360
421,2,17,10,0.0,0,0,360
422,2,18,1,0.0,0,0,360
423,2,18,2,0.0,0,0,360
424,2,18,3,0.0,0,0,360
425,2,18,4,0.0,0,0,360
426,2,18,5,66.0,2,65,293
427,2,18,6,0.0,0,0,360
428,2,18,7,30.5,5,28,327
429,2,18,8,22.5,5,20,335
430,2,18,9,2.5,1,2,357
431,2,18,10,41.0,6,38,316
432,2,19,1,92.0,104,40,216
433,2,19,2,75.0,4,73,283
434,2,19,3,80.0,82,39,239
435,2,19,4,131.0,100,81,179
436,2,19,5,0.0,0,0,360
437,2,19,6,0.0,0,0,360
438,2,19,7,0.0,0,0,360
439,2,19,8,0.0,0,0,360
440,2,19,9,37.5,51,12,297
441,2,19,10,136.0,78,97,185
442,2,20,1,88.5,7,85,268
443,2,20,2,2.5,3,1,356
444,2,20,3,119.0,20,109,231
445,2,20,4,0.0,0,0,360
446,2,20,5,0.0,0,0,360
447,2,20,6,0.0,0,0,360
448,2,20,7,0.0,0,0,360
449,2,20,8,0.0,0,0,360
450,2,20,9,0.0,0,0,360
451,2,20,10,0.0,0,0,360
452,2,21,1,0.0,0,0,360
453,2,21,2,41.5,5,39,316
454,2,21,3,22.0,10,17,333
455,2,21,4,0.0,0,0,360
456,2,21,5,0.0,0,0,360
457,2,21,6,0.0,0,0,360
458,2,21,7,0.0,0,0,360
459,2,21,8,0.0,0,0,360
460,2,21,9,73.5,63,42,255
461,2,21,10,45.0,52,19,289
462,2,22,1,0.0,0,0,360
